Date,Time,Cels(V),TQly,GPS,Rud,Ele,Thr,Ail
2024-10-10,11:30:01.850,24.61,100,30.324000 -97.603500,0,1,1024,0
2024-10-10,11:30:02.340,24.61,100,30.324000 -97.603500,-3,1,1022,0
2024-10-10,11:30:02.840,24.34,100,30.324000 -97.603500,13,1,1022,0
2024-10-10,11:30:03.340,24.34,100,30.324000 -97.603500,4,1,1023,0
2024-10-10,11:30:03.840,23.34,100,30.323900 -97.603500,4,0,1023,3
2024-10-10,11:30:04.340,23.34,100,30.323900 -97.603500,-2,0,1022,-1
2024-10-10,11:30:04.840,22.95,100,30.323900 -97.603400,-4,0,959,0
2024-10-10,11:30:05.340,22.87,100,30.323900 -97.603400,-4,-131,274,-84
2024-10-10,11:30:05.840,22.87,100,30.323700 -97.603200,-5,-165,103,258
2024-10-10,11:30:06.340,23.29,100,30.323700 -97.603200,-4,-254,56,-65
2024-10-10,11:30:06.840,23.29,100,30.323700 -97.603000,-4,-184,27,587
2024-10-10,11:30:07.340,23.7,100,30.323700 -97.603000,-4,-337,-24,-5
2024-10-10,11:30:07.840,23.7,99,30.323700 -97.602900,-4,-327,-95,176
2024-10-10,11:30:08.340,23.8,99,30.323700 -97.602900,-3,-489,-111,-186
2024-10-10,11:30:08.840,23.8,100,30.323800 -97.602700,-4,-277,-125,442
2024-10-10,11:30:09.340,23.86,100,30.323800 -97.602700,-4,-336,-141,196
2024-10-10,11:30:09.840,23.89,100,30.323900 -97.602700,-2,-328,-134,2
2024-10-10,11:30:10.340,23.89,100,30.323900 -97.602700,-3,-71,-129,418
2024-10-10,11:30:10.840,23.89,100,30.324200 -97.602700,-2,-356,-252,-349
2024-10-10,11:30:11.340,23.89,100,30.324200 -97.602700,-2,-299,-290,-2
2024-10-10,11:30:11.840,23.95,100,30.324400 -97.602800,-3,-226,-305,2
2024-10-10,11:30:12.340,23.95,100,30.324400 -97.602800,-3,-17,-290,379
2024-10-10,11:30:12.840,24.01,100,30.324500 -97.603000,-2,7,-279,356
2024-10-10,11:30:13.340,24.01,100,30.324500 -97.603000,-1,1,-147,3
2024-10-10,11:30:13.840,24.01,100,30.324600 -97.603200,1,82,-37,3
2024-10-10,11:30:14.340,23.97,100,30.324600 -97.603200,-2,10,-17,222
2024-10-10,11:30:14.840,23.97,100,30.324700 -97.603500,0,-169,-6,194
2024-10-10,11:30:15.340,23.89,100,30.324700 -97.603500,0,-247,1,45
2024-10-10,11:30:15.840,23.89,100,30.324800 -97.603700,0,-310,-1,4
2024-10-10,11:30:16.340,23.85,100,30.324800 -97.603700,0,-272,19,175
2024-10-10,11:30:16.840,23.85,100,30.325000 -97.603900,0,-483,34,-112
2024-10-10,11:30:17.340,23.84,100,30.325000 -97.603900,0,-267,82,104
2024-10-10,11:30:17.840,23.84,99,30.325200 -97.604000,-1,-344,89,17
2024-10-10,11:30:18.340,23.83,100,30.325200 -97.604000,-1,-356,79,3
2024-10-10,11:30:18.840,23.78,100,30.325400 -97.603900,-1,-206,68,296
2024-10-10,11:30:19.340,23.78,100,30.325400 -97.603900,-2,-386,62,0
2024-10-10,11:30:19.840,23.77,100,30.325500 -97.603900,0,-465,14,-272
2024-10-10,11:30:20.340,23.77,100,30.325500 -97.603900,-1,-190,-36,238
2024-10-10,11:30:20.840,23.77,100,30.325500 -97.603900,-1,-240,-45,4
2024-10-10,11:30:21.340,23.77,100,30.325500 -97.603900,0,-238,-45,5
2024-10-10,11:30:21.840,23.8,97,30.325500 -97.603900,0,-110,-230,-414
2024-10-10,11:30:22.340,23.8,97,30.325500 -97.603900,-1,-7,-287,-218
2024-10-10,11:30:22.840,23.83,100,30.325400 -97.603200,25,14,-284,305
2024-10-10,11:30:23.340,23.91,100,30.325400 -97.603200,220,-1,-330,1
2024-10-10,11:30:23.840,23.91,100,30.325400 -97.603200,3,-1,-286,59
2024-10-10,11:30:24.340,23.95,100,30.325400 -97.603200,0,2,-285,-399
